Total experience,,To next level
Erratic,Fast,Medium Fast,Medium Slow,Slow,Fluctu­ating,Level,Erratic,Fast,Medium Fast,Medium Slow,Slow,Fluctu­ating
0,0,0,0,0,0,1,15,6,8,9,10,4
15,6,8,9,10,4,2,37,15,19,48,23,9
52,21,27,57,33,13,3,70,30,37,39,47,19
122,51,64,96,80,32,4,115,49,61,39,76,33
237,100,125,135,156,65,5,169,72,91,44,114,47
406,172,216,179,270,112,6,231,102,127,57,158,66
637,274,343,236,428,178,7,305,135,169,78,212,98
942,409,512,314,640,276,8,384,174,217,105,271,117
1,326,583,729,419,911,393,9,474,217,271,141,339,147
"1,800,800,""1,000"",560,""1,250"",540,10,569,264,331,182,413,205"
"2,369,""1,064"",""1,331"",742,""1,663"",745,11,672,318,397,231,497,222"
"3,041,""1,382"",""1,728"",973,""2,160"",967,12,781,375,469,288,586,263"
"3,822,""1,757"",""2,197"",""1,261"",""2,746"",""1,230"",13,897,438,547,351,684,361"
"4,719,""2,195"",""2,744"",""1,612"",""3,430"",""1,591"",14,""1,018"",505,631,423,788,366"
"5,737,""2,700"",""3,375"",""2,035"",""4,218"",""1,957"",15,""1,144"",576,721,500,902,500"
"6,881,""3,276"",""4,096"",""2,535"",""5,120"",""2,457"",16,""1,274"",654,817,585,""1,021"",589"
"8,155,""3,930"",""4,913"",""3,120"",""6,141"",""3,046"",17,""1,409"",735,919,678,""1,149"",686"
"9,564,""4,665"",""5,832"",""3,798"",""7,290"",""3,732"",18,""1,547"",822,""1,027"",777,""1,283"",794"
"11,111,""5,487"",""6,859"",""4,575"",""8,573"",""4,526"",19,""1,689"",913,""1,141"",885,""1,427"",914"
"12,800,""6,400"",""8,000"",""5,460"",""10,000"",""5,440"",20,""1,832"",""1,008"",""1,261"",998,""1,576"",""1,042"""
"316,074,""324,179"",""405,224"",""411,388"",""506,530"",""559,209"",74,""10,457"",""13,321"",""16,651"",""17,847"",""20,813"",""22,978"""
"326,531,""337,500"",""421,875"",""429,235"",""527,343"",""582,187"",75,""9,724"",""13,680"",""17,101"",""18,356"",""21,377"",""32,379"""
"336,255,""351,180"",""438,976"",""447,591"",""548,720"",""614,566"",76,""10,710"",""14,046"",""17,557"",""18,873"",""21,946"",""24,580"""
"346,965,""365,226"",""456,533"",""466,464"",""570,666"",""639,146"",77,""10,847"",""14,415"",""18,019"",""19,398"",""22,524"",""34,717"""
"357,812,""379,641"",""474,552"",""485,862"",""593,190"",""673,863"",78,""9,995"",""14,790"",""18,487"",""19,929"",""23,108"",""26,252"""
"367,807,""394,431"",""493,039"",""505,791"",""616,298"",""700,115"",79,""11,073"",""15,169"",""18,961"",""20,469"",""23,702"",""37,165"""
"378,880,""409,600"",""512,000"",""526,260"",""640,000"",""737,280"",80,""11,197"",""15,552"",""19,441"",""21,014"",""24,301"",""27,995"""
"390,077,""425,152"",""531,441"",""547,274"",""664,301"",""765,275"",81,""10,216"",""15,942"",""19,927"",""21,567"",""24,909"",""39,722"""
"400,293,""441,094"",""551,368"",""568,841"",""689,210"",""804,997"",82,""11,393"",""16,335"",""20,419"",""22,128"",""25,523"",""29,812"""
"411,686,""457,429"",""571,787"",""590,969"",""714,733"",""834,809"",83,""11,504"",""16,734"",""20,917"",""22,695"",""26,147"",""42,392"""
"423,190,""474,163"",""592,704"",""613,664"",""740,880"",""877,201"",84,""10,382"",""17,137"",""21,421"",""23,271"",""26,776"",""31,704"""
"433,572,""491,300"",""614,125"",""636,935"",""767,656"",""908,905"",85,""11,667"",""17,544"",""21,931"",""23,852"",""27,414"",""45,179"""
"445,239,""508,844"",""636,056"",""660,787"",""795,070"",""954,084"",86,""11,762"",""17,958"",""22,447"",""24,441"",""28,058"",""33,670"""
"457,001,""526,802"",""658,503"",""685,228"",""823,128"",""987,754"",87,""10,488"",""18,375"",""22,969"",""25,038"",""28,712"",""48,083"""
"467,489,""545,177"",""681,472"",""710,266"",""851,840"",""1,035,837"",88,""11,889"",""18,798"",""23,497"",""25,641"",""29,371"",""35,715"""
"479,378,""563,975"",""704,969"",""735,907"",""881,211"",""1,071,552"",89,""11,968"",""19,225"",""24,031"",""26,253"",""30,039"",""51,108"""
"491,346,""583,200"",""729,000"",""762,160"",""911,250"",""1,122,660"",90,""10,532"",""19,656"",""24,571"",""26,870"",""30,713"",""37,839"""
"501,878,""602,856"",""753,571"",""789,030"",""941,963"",""1,160,499"",91,""12,056"",""20,094"",""25,117"",""27,495"",""31,397"",""54,254"""
"513,934,""622,950"",""778,688"",""816,525"",""973,360"",""1,214,753"",92,""12,115"",""20,535"",""25,669"",""28,128"",""32,086"",""40,043"""
"526,049,""643,485"",""804,357"",""844,653"",""1,005,446"",""1,254,796"",93,""10,508"",""20,982"",""26,227"",""28,767"",""32,784"",""57,526"""
"536,557,""664,467"",""830,584"",""873,420"",""1,038,230"",""1,312,322"",94,""12,163"",""21,433"",""26,791"",""29,415"",""33,488"",""42,330"""
"548,720,""685,900"",""857,375"",""902,835"",""1,071,718"",""1,354,652"",95,""12,202"",""21,888"",""27,361"",""30,068"",""34,202"",""60,925"""
"560,922,""707,788"",""884,736"",""932,903"",""1,105,920"",""1,415,577"",96,""10,411"",""22,350"",""27,937"",""30,729"",""34,921"",""44,699"""
"571,333,""730,138"",""912,673"",""963,632"",""1,140,841"",""1,460,276"",97,""12,206"",""22,815"",""28,519"",""31,398"",""35,649"",""64,455"""
"583,539,""752,953"",""941,192"",""995,030"",""1,176,490"",""1,524,731"",98,""8,343"",""23,286"",""29,107"",""32,073"",""36,383"",""47,153"""
"591,882,""776,239"",""970,299"",""1,027,103"",""1,212,873"",""1,571,884"",99,""8,118"",""23,761"",""29,701"",""32,757"",""37,127"",""68,116"""
"600,000,""800,000"",""1,000,000"",""1,059,860"",""1,250,000"",""1,640,000"",100,-,-,-,-,-,-"
